项目,截至6月30日止6个月期间,,"本报告期比
上年同期增减
(%)"
,"2025年
人民币元","2024年
人民币元",
基本每股收益,0.196,0.307,(36.2)
稀释每股收益,0.196,0.307,(36.2)
已占用资本回报率(%),2.82,4.30,(1.48)个百分点
