有限售条件股东持股情况,,,,,
序号,有限售条件股东名称,"持有的有限售
条件股份数量",有限售条件股份可上市交易情况,,限售条件
,,,可上市交易时间,"新增可上市交
易股份数量",
1,"中国石油化工集团有
限公司","2,390,438,247",2027年3月18日,"2,390,438,247","发行新股限
售36个月"
"上述股东关联关系或一致行
动的说明",,无,,,
