项目,截至6月30日止6个月期间,,"本报告期比
上年同期增减
(%)"
,"2025年
人民币百万元","2024年
人民币百万元",
经营收益,"33,423","51,021",(34.5)
本公司股东应占利润,"23,752","37,079",(35.9)
"经营活动产生的现金流量净
额","61,016","42,269",44.4
