截至报告期末股东总数（户）,,,,"220,658",,
截至报告期末表决权恢复的优先股股东总数（户）,,,,,,
前10名股东持股情况,,,,,,
股东名称,"股东性
质","持股比
例(%)","持股
数量","持有有限
售条件的
股份数量","质押、标记或冻结
的股份数量",
"中国贵州茅台酒厂（集团）
有限责任公司","国有法
人",54.07,"679,211,576",,无,
香港中央结算有限公司,未知,5.80,"72,866,199",,未知,
"贵州省国有资本运营有限责
任公司","国有法
人",4.54,"56,996,777",,未知,
"贵州茅台酒厂（集团）技术
开发有限公司","国有法
人",2.22,"27,849,688",,无,
"中国工商银行－上证50交
易型开放式指数证券投资基",未知,0.98,"12,307,644",,未知,
